Time (seconds),light
4.07,13171.32
4.21,13171.32
4.21,13186.39
4.22,13171.32
4.22,13171.32
4.23,13186.39
4.23,13171.32
4.23,13186.39
4.24,13186.39
4.24,13186.39
4.25,13186.39
4.25,13186.39
4.25,13186.39
4.26,13186.39
4.26,13186.39
4.27,13186.39
4.27,13186.39
4.27,13186.39
4.28,13186.39
4.28,13186.39
4.31,13186.39
4.31,13201.46
4.31,13186.39
4.32,13186.39
4.32,13201.46
4.33,13201.46
4.33,13201.46
4.33,13186.39
4.34,13201.46
4.34,13201.46
4.35,13201.46
4.35,13201.46
4.35,13201.46
4.36,13201.46
4.36,13201.46
4.37,13201.46
4.37,13201.46
4.37,13201.46
4.40,13216.53
4.40,13201.46
4.41,13216.53
4.41,13216.53
4.41,13216.53
4.42,13216.53
4.42,13216.53
4.43,13216.53
4.43,13216.53
4.43,13337.06
4.44,13337.06
4.44,13337.06
4.45,13337.06
4.45,13352.13
4.45,13337.06
4.46,13352.13
4.46,13352.13
4.47,13352.13
4.49,13337.06
4.49,13352.13
4.50,13352.13
4.50,13352.13
4.51,13352.13
4.51,13352.13
4.51,13352.13
4.52,13337.06
4.52,13337.06
4.53,13352.13
4.53,13352.13
4.53,13337.06
4.54,13352.13
4.54,13352.13
4.55,13352.13
4.55,13352.13
4.55,13352.13
4.56,13352.13
4.56,13352.13
4.59,13352.13
4.59,13352.13
4.59,13352.13
4.60,13352.13
4.60,13352.13
4.61,13352.13
4.61,13352.13
4.61,13352.13
4.62,13352.13
4.62,13352.13
4.63,13352.13
4.63,13337.06
4.63,13352.13
4.64,13352.13
4.64,13352.13
4.65,13352.13
4.65,13352.13
4.65,13352.13
4.68,13352.13
4.68,13352.13
4.69,13337.06
4.69,13352.13
4.69,13352.13
4.70,13352.13
4.70,13337.06
4.71,13352.13
4.71,13352.13
4.71,13352.13
4.72,13352.13
4.72,13337.06
4.73,13352.13
4.73,13352.13
4.73,13352.13
4.74,13352.13
4.74,13337.06
4.75,13337.06
4.77,13352.13
4.77,13352.13
4.78,13352.13
4.78,13352.13
4.79,13352.13
4.79,13352.13
4.79,13352.13
4.80,13352.13
4.80,13352.13
4.81,13337.06
4.81,13337.06
4.81,13352.13
4.82,13352.13
4.82,13352.13
4.83,13337.06
4.83,13352.13
4.83,13337.06
4.84,13352.13
4.86,13352.13
4.87,13352.13
4.87,13352.13
4.87,13352.13
4.88,13352.13
4.88,13352.13
4.89,13352.13
4.89,13352.13
4.89,13352.13
4.90,13352.13
4.90,13367.19
4.91,13352.13
4.91,13352.13
4.91,13367.19
4.92,13367.19
4.92,13367.19
4.93,13367.19
4.93,13352.13
4.93,13367.19
4.96,13367.19
4.96,13367.19
4.97,13367.19
4.97,13367.19
4.97,13367.19
4.98,13367.19
4.98,13367.19
4.99,13367.19
4.99,13367.19
4.99,13367.19
5.00,13382.26
5.00,13382.26
5.01,13382.26
5.01,13382.26
5.01,13382.26
5.02,13382.26
5.02,13382.26
5.03,13382.26
5.05,13382.26
5.05,13382.26
5.06,13397.33
5.06,13382.26
5.07,13382.26
5.07,13382.26
5.07,13382.26
5.08,13397.33
5.08,13397.33
5.09,13397.33
5.09,13397.33
5.09,13397.33
5.10,13397.33
5.10,13397.33
5.11,13397.33
5.11,13397.33
5.11,13397.33
5.12,13397.33
5.14,13412.39
5.15,13397.33
5.15,13397.33
5.15,13412.39
5.16,13397.33
5.16,13397.33
5.17,13397.33
5.17,13397.33
5.17,13397.33
5.18,13397.33
5.18,13397.33
5.19,13412.39
5.19,13397.33
5.19,13397.33
5.20,13397.33
5.20,13397.33
5.21,13397.33
5.21,13397.33
5.21,13397.33
5.24,13397.33
5.24,13397.33
5.25,13397.33
5.25,13397.33
5.25,13397.33
5.26,13397.33
5.26,13397.33
5.27,13397.33
5.27,13412.39
5.27,13412.39
5.28,13397.33
5.28,13397.33
5.29,13397.33
5.29,13397.33
5.29,13397.33
5.30,13397.33
5.30,13397.33
5.31,13397.33
5.33,13397.33
5.33,13397.33
5.34,13397.33
5.34,13397.33
5.35,13397.33
5.35,13397.33
5.35,13397.33
5.36,13397.33
5.36,13397.33
5.37,13397.33
5.37,13397.33
5.37,13397.33
5.38,13397.33
5.38,13412.39
5.39,13397.33
5.39,13382.26
5.39,13397.33
5.40,13397.33
5.42,13397.33
5.43,13397.33
5.43,13397.33
5.43,13397.33
5.44,13397.33
5.44,13397.33
5.45,13397.33
5.45,13397.33
5.45,13397.33
5.46,13397.33
5.46,13397.33
5.47,13397.33
5.47,13397.33
5.47,13382.26
5.48,13397.33
5.48,13382.26
5.49,13382.26
5.49,13382.26
5.51,13382.26
5.52,13397.33
5.52,13382.26
5.53,13382.26
5.53,13382.26
5.53,13382.26
5.54,13382.26
5.54,13382.26
5.55,13382.26
5.55,13382.26
5.55,13382.26
5.56,13382.26
5.56,13382.26
5.57,13382.26
5.57,13382.26
5.57,13382.26
5.58,13382.26
5.58,13382.26
5.59,13382.26
5.61,13382.26
5.61,13382.26
5.62,13382.26
5.62,13382.26
5.63,13382.26
5.63,13382.26
5.63,13382.26
5.64,13397.33
5.64,13397.33
5.65,13382.26
5.65,13382.26
5.65,13382.26
5.66,13397.33
5.66,13382.26
5.67,13397.33
5.67,13382.26
5.67,13382.26
5.68,13397.33
5.81,13397.33
5.81,13382.26
5.81,13397.33
5.82,13397.33
5.82,13397.33
5.83,13382.26
5.83,13382.26
5.83,13382.26
5.84,13382.26
5.84,13382.26
5.85,13382.26
5.85,13382.26
5.86,13397.33
5.86,13382.26
5.87,13382.26
5.87,13382.26
5.87,13382.26
5.88,13382.26
5.90,13382.26
5.91,13382.26
5.91,13382.26
5.91,13382.26
5.92,13382.26
5.92,13367.19
5.93,13382.26
5.93,13367.19
5.93,13382.26
5.94,13382.26
5.94,13382.26
5.95,13382.26
5.95,13382.26
5.95,13382.26
5.96,13367.19
5.96,13382.26
5.97,13382.26
5.97,13367.19
5.97,13382.26
6.00,13382.26
6.00,13382.26
6.01,13367.19
6.01,13382.26
6.01,13382.26
6.02,13367.19
6.02,13382.26
6.03,13367.19
6.03,13382.26
6.03,13367.19
6.04,13367.19
6.04,13367.19
6.05,13367.19
6.05,13276.79
6.05,13276.79
6.06,13276.79
6.06,13276.79
6.07,13276.79
6.09,13276.79
6.09,13276.79
6.10,13276.79
6.10,13276.79
6.11,13276.79
6.11,13276.79
6.11,13276.79
6.12,13382.26
6.12,13382.26
6.13,13382.26
6.13,13367.19
6.13,13382.26
6.14,13382.26
6.14,13382.26
6.15,13382.26
6.15,13382.26
6.15,13382.26
6.16,13382.26
6.18,13382.26
6.19,13382.26
6.19,13382.26
6.19,13382.26
6.20,13382.26
6.20,13367.19
6.21,13382.26
6.21,13382.26
6.21,13382.26
6.22,13382.26
6.22,13382.26
6.23,13382.26
6.23,13382.26
6.23,13382.26
6.24,13382.26
6.24,13382.26
6.25,13382.26
6.25,13382.26
6.27,13382.26
6.28,13382.26
6.28,13382.26
6.29,13382.26
6.29,13382.26
6.29,13382.26
6.30,13382.26
6.30,13367.19
6.31,13382.26
6.31,13382.26
6.31,13382.26
6.32,13382.26
6.32,13382.26
6.33,13382.26
6.33,13367.19
6.33,13382.26
6.34,13382.26
6.34,13382.26
6.35,13382.26
6.37,13382.26
6.37,13382.26
6.38,13367.19
6.38,13382.26
6.39,13382.26
6.39,13382.26
6.39,13382.26
6.40,13382.26
6.40,13382.26
6.41,13382.26
6.41,13382.26
6.41,13367.19
6.42,13382.26
6.42,13382.26
6.43,13382.26
6.43,13367.19
6.43,13382.26
6.44,13382.26
6.46,13382.26
6.47,13382.26
6.47,13382.26
6.47,13382.26
6.48,13382.26
6.48,13382.26
6.49,13382.26
6.49,13382.26
6.49,13382.26
6.50,13382.26
6.50,13382.26
6.51,13382.26
6.51,13382.26
6.51,13382.26
6.52,13382.26
6.52,13382.26
6.53,13382.26
6.53,13382.26
6.55,13382.26
6.56,13382.26
6.56,13382.26
6.57,13382.26
6.57,13397.33
6.57,13397.33
6.58,13382.26
6.58,13397.33
6.59,13382.26
6.59,13382.26
6.59,13382.26
6.60,13382.26
6.60,13397.33
6.61,13382.26
6.61,13382.26
6.61,13382.26
6.62,13382.26
6.62,13397.33
6.63,13382.26
6.65,13397.33
6.65,13382.26
6.66,13382.26
6.66,13397.33
6.67,13397.33
6.67,13382.26
6.67,13397.33
6.68,13382.26
6.68,13382.26
6.69,13382.26
6.69,13382.26
6.69,13382.26
6.70,13382.26
6.70,13397.33
6.71,13382.26
6.71,13382.26
6.71,13397.33
6.72,13382.26
6.74,13382.26
6.75,13397.33
6.75,13382.26
6.75,13382.26
6.76,13382.26
6.76,13382.26
6.77,13397.33
6.77,13382.26
6.77,13382.26
6.78,13382.26
6.78,13382.26
6.79,13382.26
6.79,13382.26
6.79,13382.26
6.80,13382.26
6.80,13382.26
6.81,13382.26
6.81,13382.26
6.83,13276.79
6.84,13276.79
6.84,13276.79
6.85,13276.79
6.85,13276.79
6.85,13276.79
6.86,13276.79
6.86,13261.72
6.87,13367.19
6.87,13367.19
6.87,13367.19
6.88,13367.19
6.88,13367.19
6.89,13367.19
6.89,13367.19
6.89,13367.19
6.90,13367.19
6.90,13367.19
