Time (seconds),x,y,z
5.24,-920,-224,-292
5.25,-920,-224,-292
5.26,-812,-252,-212
5.27,-812,-252,-212
5.27,-784,-284,-268
5.28,-784,-284,-268
5.29,-784,-284,-268
5.30,-968,-260,-232
5.31,-968,-260,-232
5.32,-976,-264,-272
5.32,-976,-264,-272
5.35,-888,-304,-280
5.35,-888,-304,-280
5.35,-888,-288,-224
5.36,-888,-288,-224
5.36,-888,-288,-224
5.37,-888,-288,-224
5.37,-888,-288,-224
5.37,-976,-224,-384
5.38,-976,-224,-384
5.38,-976,-224,-384
5.39,-976,-224,-384
5.39,-976,-224,-384
5.39,-824,-292,-400
5.42,-768,-248,-500
5.43,-768,-248,-500
5.43,-780,-256,-464
5.44,-780,-256,-464
5.45,-780,-256,-464
5.46,-896,-252,-296
5.47,-896,-252,-296
5.47,-700,-312,-476
5.48,-700,-312,-476
5.49,-700,-312,-476
5.49,-688,-292,-768
5.50,-688,-292,-768
5.51,-688,-292,-768
5.53,-868,-208,-700
5.54,-840,-176,-588
5.54,-840,-176,-588
5.55,-840,-176,-588
5.55,-840,-176,-588
5.55,-656,-260,-780
5.56,-656,-260,-780
5.56,-656,-260,-780
5.57,-656,-260,-780
5.57,-656,-260,-780
5.57,-584,-256,-828
5.58,-584,-256,-828
5.71,-376,-240,-1152
5.72,-436,-228,-884
5.72,-436,-228,-884
5.73,-436,-228,-884
5.73,-424,-212,-672
5.74,-424,-212,-672
5.74,-424,-212,-672
5.75,-424,-212,-672
5.75,-424,-212,-672
5.75,-468,-184,-784
5.76,-468,-184,-784
5.76,-468,-184,-784
5.77,-468,-184,-784
5.79,-448,-176,-848
5.80,-508,-176,-848
5.81,-508,-176,-848
5.81,-596,-152,-856
5.82,-596,-152,-856
5.83,-596,-152,-856
5.83,-444,-208,-1056
5.84,-444,-208,-1056
5.85,-444,-208,-1056
5.85,-616,-144,-1064
5.86,-616,-144,-1064
5.87,-616,-144,-1064
5.88,-792,-96,-820
5.90,-628,-216,-704
5.91,-628,-216,-704
5.91,-572,-172,-532
5.92,-572,-172,-532
5.92,-572,-172,-532
5.93,-572,-172,-532
5.93,-728,-168,-372
5.94,-728,-168,-372
5.94,-728,-168,-372
5.95,-728,-168,-372
5.95,-828,-132,-224
5.96,-828,-132,-224
5.96,-828,-132,-224
5.99,-876,-120,-336
5.99,-820,-120,-556
6.00,-820,-120,-556
6.01,-820,-120,-556
6.01,-840,-108,-676
6.02,-840,-108,-676
6.03,-840,-108,-676
6.03,-876,-100,-488
6.04,-876,-100,-488
6.05,-984,-52,-136
6.06,-984,-52,-136
6.07,-984,-52,-136
6.08,-1036,0,56
6.09,-1008,-36,164
6.10,-1008,-36,164
6.10,-1008,-36,164
6.11,-1008,-36,164
6.11,-996,16,188
6.11,-996,16,188
6.12,-996,16,188
6.12,-996,16,188
6.13,-996,16,188
6.13,-1004,72,280
6.13,-1004,72,280
6.14,-1004,72,280
6.14,-1004,72,280
6.15,-1004,72,280
6.17,-864,28,300
6.17,-864,28,300
6.18,-864,28,300
6.18,-864,28,300
6.19,-844,32,420
6.19,-844,32,420
6.20,-844,32,420
6.21,-804,-56,620
6.21,-804,-56,620
6.22,-804,-56,620
6.23,-768,72,404
6.24,-768,72,404
6.25,-768,72,404
6.26,-680,8,248
6.26,-680,8,248
6.29,-912,184,436
6.29,-1052,244,696
6.29,-1052,244,696
6.30,-1052,244,696
6.30,-1052,244,696
6.31,-1052,244,696
6.31,-772,176,864
6.31,-772,176,864
6.32,-772,176,864
6.32,-772,176,864
6.33,-772,176,864
6.33,-680,148,644
6.33,-680,148,644
6.34,-680,148,644
6.36,-712,180,592
6.37,-712,180,592
6.37,-800,204,608
6.37,-800,204,608
6.38,-800,204,608
