Time (seconds),temperature
75.56,38.70968
75.57,38.70968
75.58,38.70968
75.62,38.70968
75.63,38.70968
75.64,38.3871
75.65,38.70968
75.67,38.70968
75.68,38.70968
75.70,38.70968
75.71,38.70968
75.73,38.70968
75.74,38.70968
75.76,38.70968
75.78,38.70968
75.79,38.70968
75.80,38.70968
75.81,38.70968
75.83,38.70968
75.84,38.70968
75.88,38.70968
75.89,38.70968
75.91,38.70968
75.92,38.70968
75.94,38.70968
75.95,38.70968
75.97,38.70968
75.98,38.70968
75.99,38.70968
76.00,38.70968
76.01,38.3871
76.03,38.70968
76.04,38.70968
76.06,38.70968
76.07,38.70968
76.09,39.03226
76.10,38.70968
76.14,38.70968
76.15,38.70968
76.17,38.70968
76.18,38.70968
76.19,38.70968
76.20,38.70968
76.21,38.70968
76.23,38.3871
76.24,38.70968
76.26,38.70968
76.27,38.3871
76.29,38.3871
76.30,38.70968
76.32,38.70968
76.34,38.70968
76.35,38.70968
76.36,38.70968
76.39,38.70968
76.41,38.70968
76.42,38.70968
76.44,38.3871
76.46,38.70968
76.47,38.70968
76.48,38.70968
76.50,38.70968
76.52,38.70968
76.53,38.70968
76.54,38.70968
76.55,38.70968
76.57,38.3871
76.58,38.3871
76.59,38.3871
76.61,38.70968
76.62,38.3871
76.64,38.70968
76.67,38.70968
76.69,38.70968
76.70,38.3871
76.71,38.70968
76.73,38.3871
76.74,38.70968
76.75,38.70968
76.76,38.3871
76.78,38.3871
76.79,38.3871
76.81,38.3871
76.82,38.3871
76.84,38.3871
76.86,38.70968
76.87,38.3871
76.89,38.3871
76.90,38.70968
77.02,38.3871
77.04,38.3871
77.06,38.3871
77.07,38.3871
77.09,38.3871
77.10,38.3871
77.11,38.3871
77.12,38.3871
77.13,38.3871
77.15,38.3871
77.16,38.3871
77.18,38.3871
77.20,38.3871
77.21,38.3871
77.22,38.3871
77.24,38.3871
77.25,38.3871
77.27,38.3871
77.28,38.3871
77.31,38.3871
77.33,38.3871
77.34,38.70968
77.36,38.3871
77.37,38.3871
77.39,38.3871
77.40,38.3871
77.42,38.3871
77.43,38.3871
77.45,38.3871
77.46,38.06451
77.47,38.06451
77.48,38.3871
77.50,38.3871
77.51,38.3871
77.53,38.3871
77.54,38.3871
77.56,38.3871
77.59,38.3871
77.61,38.3871
77.62,38.3871
77.63,38.3871
77.64,38.3871
77.65,38.06451
77.67,38.06451
77.68,38.3871
77.70,38.3871
77.71,38.3871
77.73,38.06451
77.74,38.06451
77.76,38.3871
77.77,38.06451
77.79,38.06451
77.80,38.06451
77.81,38.06451
77.83,38.3871
77.86,38.06451
77.87,38.06451
77.89,38.06451
77.90,38.06451
77.92,38.06451
77.93,38.06451
77.95,38.06451
77.96,38.06451
77.98,38.06451
77.99,38.06451
78.00,38.06451
78.01,38.06451
78.03,38.06451
78.04,38.06451
78.05,38.06451
78.06,38.06451
78.08,38.06451
78.11,38.06451
78.13,38.06451
78.14,38.06451
78.16,38.06451
78.17,38.06451
78.19,38.06451
78.20,38.06451
78.21,38.06451
78.22,38.06451
78.23,38.06451
78.25,38.06451
78.26,38.06451
78.28,38.06451
78.30,38.06451
78.31,38.06451
78.33,38.06451
78.34,38.06451
78.37,38.06451
78.38,38.06451
78.39,38.06451
78.41,38.06451
78.42,37.74194
78.44,38.06451
78.45,38.06451
78.47,38.06451
78.48,38.06451
78.50,38.06451
78.52,37.74194
78.53,38.06451
78.54,38.06451
78.55,38.06451
78.57,38.06451
78.58,38.06451
78.59,38.06451
78.62,38.06451
78.64,38.06451
78.66,38.06451
78.67,38.06451
78.69,37.74194
78.70,38.06451
78.71,38.06451
78.73,37.74194
78.74,38.06451
78.75,38.06451
78.76,38.06451
78.77,38.06451
78.79,38.06451
78.81,37.74194
78.82,38.06451
78.84,38.06451
78.86,37.74194
78.89,37.74194
78.90,37.74194
78.91,38.06451
78.93,37.74194
78.94,37.74194
78.95,37.74194
78.96,37.41935
78.98,37.74194
78.99,37.74194
79.01,37.74194
79.02,37.74194
79.04,37.74194
79.05,37.74194
79.07,37.74194
79.08,37.74194
79.10,37.74194
79.11,37.74194
79.14,37.74194
79.16,37.74194
79.17,37.74194
79.19,37.74194
79.20,37.74194
79.22,37.74194
79.23,37.74194
79.25,37.74194
79.26,37.74194
79.28,37.74194
79.29,37.74194
79.30,37.74194
79.31,37.74194
79.33,37.74194
79.34,37.74194
79.36,37.74194
79.37,37.74194
79.40,37.74194
79.42,37.74194
79.43,37.41935
79.45,37.74194
79.46,37.74194
79.47,37.74194
79.49,37.74194
79.50,37.74194
79.51,37.74194
79.53,37.74194
79.54,37.74194
79.56,37.74194
79.57,37.74194
79.59,37.74194
79.60,37.74194
79.62,37.74194
79.64,37.74194
79.67,37.74194
79.68,37.74194
79.69,37.74194
79.70,37.74194
79.72,37.74194
79.74,37.74194
79.75,37.41935
79.77,37.74194
79.78,37.74194
79.80,37.41935
79.81,37.74194
79.83,37.74194
79.84,37.74194
79.85,37.41935
79.86,37.74194
79.87,37.74194
79.89,37.41935
79.92,37.74194
79.94,37.74194
79.96,37.74194
79.97,37.74194
79.99,37.74194
80.00,37.41935
80.02,37.74194
80.03,37.74194
80.04,37.74194
80.05,37.74194
80.07,37.74194
80.08,37.41935
80.10,37.41935
80.12,37.41935
80.13,37.74194
80.15,37.74194
80.16,37.74194
80.19,37.74194
80.21,37.41935
80.22,37.74194
80.23,37.74194
80.24,37.41935
80.25,37.41935
80.27,37.74194
80.29,37.74194
80.30,37.74194
80.32,37.41935
80.33,37.41935
80.35,37.74194
80.36,37.74194
80.38,37.41935
80.39,37.74194
80.40,37.74194
80.41,37.74194
80.45,37.74194
80.46,37.74194
80.48,37.41935
80.50,37.41935
80.51,37.41935
80.52,37.41935
80.54,37.74194
80.55,37.41935
80.56,37.74194
80.58,37.41935
80.59,37.41935
80.60,37.41935
80.61,37.41935
80.63,37.41935
80.65,37.41935
80.66,37.41935
80.67,37.41935
80.71,37.41935
80.72,37.41935
80.74,37.41935
80.75,37.41935
80.76,37.74194
80.77,37.41935
80.79,37.41935
80.80,37.41935
80.81,37.41935
80.83,37.41935
80.84,37.41935
80.85,37.41935
80.87,37.74194
80.88,37.41935
80.90,37.41935
80.92,37.41935
80.93,37.41935
80.96,37.41935
80.97,37.41935
80.99,37.41935
81.00,37.41935
81.02,37.41935
81.03,37.41935
81.05,37.41935
81.06,37.41935
81.08,37.41935
81.10,37.41935
81.11,37.41935
81.13,37.41935
81.14,37.41935
81.15,37.41935
81.17,37.41935
81.18,37.41935
81.19,37.74194
81.32,37.41935
81.34,37.41935
81.35,37.41935
81.37,37.09677
81.38,37.41935
81.40,37.41935
81.41,37.41935
81.43,37.41935
81.44,37.09677
81.46,37.41935
81.47,37.09677
81.49,37.41935
81.50,37.41935
81.51,37.41935
81.53,37.41935
81.54,37.41935
81.55,37.09677
81.56,37.41935
81.60,37.41935
81.61,37.09677
81.63,37.09677
81.64,37.41935
81.66,37.41935
81.67,37.09677
81.69,37.09677
81.70,37.09677
81.71,37.09677
81.72,37.41935
81.73,37.09677
81.75,37.41935
81.76,37.09677
81.78,37.09677
81.79,37.09677
81.81,37.09677
81.82,37.09677
81.86,37.09677
81.87,37.41935
81.88,37.41935
81.89,37.09677
81.91,37.09677
81.92,37.09677
81.93,37.09677
81.95,37.09677
81.96,37.09677
81.98,37.41935
81.99,37.09677
82.01,37.09677
82.02,37.09677
82.04,37.09677
82.05,37.41935
82.07,37.09677
82.08,37.09677
82.11,37.09677
82.12,37.09677
82.14,37.09677
82.16,37.09677
82.17,37.09677
82.18,37.09677
82.20,37.09677
82.22,37.09677
82.23,37.09677
82.25,37.09677
82.26,37.09677
82.27,37.09677
82.28,37.09677
82.29,37.09677
82.31,37.09677
82.32,37.09677
82.33,36.77419
82.36,37.09677
82.38,36.77419
82.40,37.09677
82.41,37.09677
82.43,37.09677
82.44,37.09677
82.45,37.09677
82.47,37.09677
82.48,37.09677
82.49,37.09677
82.51,37.09677
82.52,37.09677
82.54,36.77419
82.55,36.77419
82.57,37.09677
82.58,37.09677
82.60,37.09677
82.63,37.09677
82.64,37.09677
82.65,36.77419
82.67,36.77419
82.68,36.77419
82.70,37.09677
82.71,37.09677
82.73,36.77419
82.74,37.09677
82.76,37.09677
82.78,36.77419
82.79,37.09677
82.81,37.09677
82.82,36.77419
82.83,37.09677
82.84,36.77419
82.85,36.77419
82.89,36.77419
82.90,37.09677
82.92,36.77419
82.93,36.77419
82.95,36.77419
82.96,36.77419
82.98,36.77419
82.99,36.77419
83.01,36.77419
83.02,36.77419
83.03,36.77419
83.05,36.77419
83.06,36.77419
83.07,36.77419
83.09,36.77419
83.10,36.77419
83.12,36.77419
83.15,36.77419
83.17,36.77419
83.18,36.77419
83.19,36.77419
83.21,36.77419
83.22,37.09677
83.23,36.77419
83.24,36.77419
83.26,36.77419
83.27,36.77419
83.28,36.77419
83.30,36.77419
83.31,36.77419
83.33,36.77419
83.34,36.77419
83.36,36.77419
83.37,36.77419
83.41,37.09677
83.42,36.77419
83.44,36.77419
83.45,36.77419
83.47,36.77419
83.48,36.77419
83.50,36.77419
83.52,36.77419
83.53,36.77419
83.55,36.77419
83.56,36.77419
83.57,36.77419
83.59,36.77419
83.60,36.77419
83.61,36.77419
83.62,36.77419
83.64,36.77419
83.67,36.77419
83.68,36.77419
83.70,36.77419
83.72,36.77419
83.73,36.77419
83.75,36.77419
83.76,36.45161
83.77,36.77419
83.78,36.77419
83.79,36.77419
83.81,36.77419
83.82,36.77419
83.84,36.77419
83.85,36.77419
83.87,36.77419
83.88,36.77419
83.90,36.77419
83.93,36.77419
83.95,36.45161
83.96,36.77419
83.97,36.77419
83.99,36.77419
84.00,36.77419
84.01,36.77419
84.03,36.45161
84.04,36.77419
84.06,36.45161
84.07,36.45161
84.09,36.45161
84.10,36.77419
84.11,36.77419
84.12,36.77419
84.13,36.77419
84.15,36.45161
84.18,36.45161
84.19,36.77419
84.21,36.45161
84.22,36.45161
84.24,36.45161
84.25,36.45161
84.27,36.45161
84.28,36.45161
84.29,36.45161
84.31,36.45161
84.32,36.77419
84.33,36.45161
84.35,36.45161
84.36,36.77419
84.37,36.77419
84.39,36.77419
84.40,36.77419
84.44,36.45161
84.45,36.45161
84.47,36.45161
84.48,36.45161
84.49,36.45161
84.50,36.45161
84.51,36.45161
84.53,36.45161
84.54,36.45161
84.55,36.45161
84.56,36.45161
84.58,36.45161
84.60,36.45161
84.61,36.45161
84.62,36.45161
84.64,36.45161
84.66,36.45161
84.69,36.45161
84.70,36.45161
84.71,36.45161
84.73,36.45161
84.74,36.45161
84.76,36.45161
84.77,36.45161
84.79,36.45161
84.80,36.45161
84.82,36.45161
84.84,36.45161
84.85,36.45161
84.86,36.12903
84.87,36.45161
84.89,36.45161
84.90,36.45161
84.91,36.45161
84.94,36.45161
84.96,36.45161
84.97,36.45161
84.99,36.45161
85.00,36.45161
85.02,36.45161
85.04,36.45161
85.05,36.45161
85.06,36.45161
85.07,36.45161
85.09,36.45161
85.10,36.45161
85.12,36.45161
85.13,36.45161
85.15,36.45161
85.16,36.45161
85.18,36.45161
85.20,36.12903
85.22,36.45161
85.23,36.12903
85.25,36.45161
85.26,36.45161
85.27,36.45161
85.28,36.45161
85.30,36.45161
85.32,36.45161
85.33,36.45161
85.35,36.45161
85.36,36.45161
85.38,36.45161
85.40,36.45161
85.41,36.12903
85.42,36.45161
85.43,36.45161
85.45,36.45161
85.58,36.45161
85.60,36.12903
85.61,36.12903
85.62,36.12903
85.63,36.12903
85.65,36.45161
85.66,36.45161
85.67,36.12903
85.69,36.12903
85.70,36.45161
85.72,36.45161
85.73,36.12903
85.75,36.12903
85.76,36.12903
85.78,36.45161
85.79,36.12903
85.80,36.12903
85.83,36.12903
85.85,36.12903
85.86,36.12903
85.88,36.12903
85.89,36.12903
85.91,36.12903
85.92,36.12903
85.94,36.12903
85.95,36.12903
85.97,36.12903
85.98,36.12903
85.99,36.12903
86.00,36.12903
86.01,36.12903
86.03,36.45161
86.04,36.12903
86.06,36.45161
86.09,36.45161
86.10,36.12903
86.12,36.12903
86.13,36.12903
86.15,36.45161
86.16,36.12903
86.17,36.12903
86.18,36.12903
86.19,36.45161
86.21,36.12903
86.22,36.12903
86.24,36.12903
86.25,36.12903
86.26,36.12903
86.28,36.12903
86.30,36.12903
86.31,36.12903
86.34,36.12903
86.35,36.12903
86.37,36.12903
86.38,36.12903
86.39,36.12903
86.41,36.12903
86.42,36.12903
86.44,36.12903
86.46,36.12903
86.47,36.12903
86.49,36.12903
86.50,36.12903
86.52,36.12903
86.53,36.12903
86.55,36.12903
86.56,36.12903
86.57,36.12903
86.60,36.12903
86.62,36.12903
86.64,36.12903
86.65,36.12903
86.67,36.12903
86.68,36.12903
86.70,36.12903
86.71,36.12903
86.73,36.12903
86.74,36.12903
86.75,36.12903
86.76,36.12903
86.78,36.12903
86.80,36.12903
86.81,36.12903
86.82,36.12903
86.84,36.12903
86.87,36.12903
86.89,36.12903
86.90,36.12903
86.91,35.80645
86.92,36.12903
86.93,35.80645
86.95,36.12903
86.96,35.80645
86.98,36.12903
87.00,36.12903
87.01,36.12903
87.02,36.12903
87.04,35.80645
87.06,35.80645
87.07,36.12903
87.08,36.12903
87.09,35.80645
87.13,36.12903
87.14,36.12903
87.16,36.12903
87.17,35.80645
87.19,35.80645
87.21,36.12903
87.22,35.80645
87.23,36.12903
87.25,36.12903
87.26,36.12903
87.28,36.12903
87.29,36.12903
87.30,35.80645
87.31,35.80645
87.33,35.80645
87.34,36.12903
87.36,35.80645
87.39,36.12903
87.40,36.12903
